codigo_produto,descricao_produto,qtd_ocorrencias
007508,ARAME GALVANIZADO 18,5
009552,ARAME GALVANIZADO 20,3
003840,ARAME GALVANIZADO AJAX BMG 16 1KG,3
007310,"ARAME LISO GALVANIZADO 18 FIO 1,24MM 1KG 105M",1
000847,ARCO DE SERRA,5
010068,AREIA BRANCA ESPECIAL PARA QUADRA ESPORTIVA 20KG ENSACADA,1
004052,AREIA ENSACADA 20KG,25
000013,AREIA MEDIA 20KG,7
000804,AREIA SACO 20KG MEDIA LAV PRAZO ENTREGA,4
004868,AREJADOR P/ TORNEIRA,4
012342,ARGAMASSA ACIII INTERNO E EXTERNO 20KG CINZA,1
003302,ARGAMASSA ÁREA EXTERNA 20 KG,6
003262,ARGAMASSA CIMENTCOLA FLEXÍVEL,2
006224,Argamassa Colante Votomassa AC-II 20kg,7
003961,ARGAMASSA IMP VIAPLUS 7000,2
011671,Argamassa Massa de Reparo Estrutural Interno e Externo 20kg Cinza Quartzolit,1
001473,ARGAMASSA PISO SOBRE PISO,9
009502,ARGOLA PARA CHAVEIRO SEM CORRENTE,1
011569,Armário Aéreo 3 Portas Cozinha Lavanderia Quarto - Mod.3003 Cor:preto,1
009658,ARMARIO ALTO FECHADO 1.60X80X42 F.15MM,19
010638,ARMÁRIO ALTO FECHADO 1.60X80X42 F.15MM,1
001368,ARMÁRIO BAIXO 74(H) X 80(L) X 45(P) COM 01 PRATELEIRA - PRETO,6
011840,ARMARIO DE COZINHA NICHO PARA MICROONDAS 70CM PRETO - VENEZA MODELO MP3737.130,1
004719,ARMARIO DE ESCRITÓRIO,28
012504,ARMÁRIO DE ESCRITÓRIO SHELF 2 PT AMEIXA E PRETO 173CM,1
003836,ARMÁRIO LOCKER,3
007269,ARMÁRIO MODERNO MULTIUSO 180X63X35CM,2
009977,ARMARIO MULTIUSO BRANCO PROJEMOB,1
012167,ARMÁRIO MULTIUSO COM CHAVE 2 PORTAS CHICAGO NOTÁVEL PRETO,1
011481,"Armário Nicho para Micro-ondas Etna 0,58m Grafite - Poliman Grafite",1
007202,ARMÁRIO PORTA VASSOURAS PRODUTOS DE LIMPEZA,1
000095,ARRUELA  LISA E 5/16 C/15 PEPFIX 041,1
008170,ARRUELA CONCAVA 5/16 METALICA ZB,1
012060,ARRUELA ESTRELADA DIN 5406 MB7 KONE,1
003691,ARRUELA LISA 1/4&quot;,18
001399,ARRUELA LISA 3/8,4
003696,ARRUELA LISA 3/8&quot;,1
000168,ARRUELA LISA ZI 1/4&quot;,13
008485,ARRUELA PORCA 1/2 METAL PARA TORNEIRAS,2
009386,ARRUELA ZAMAC 1.1/4 POLEGADA,1
009507,ARRUELA ZAMAC 3 POLEGADAS - PRENSAL,2
009812,ARVORE DE NATAL 150CM VERDE 300 GALHOS TRADICIONAL + 75 ENFEITE,2
012239,ARVORE PLANTA GRANDE ARTIFICIAL PERMANENTE SUPER REALISTA,1
003729,ASPIRAD SOLLIQ,1
003619,ASPIRADOR DE PÓ,18
006099,ASSENTO CELITE ORIGINAL CONFORT PLUS BRANCO 3909860010100,9
007468,ASSENTO DE BANQUETA TOQUIO EM RECOURO C/ FURAÇÃO 10X10,1
004478,ASSENTO POLIPROPILENO LOUÇAS CARRARA,1
008824,ASSENTO REDONDO 28CM PRETO COMPENSADO PLASTIFICADO 18MM,4
006304,ASSENTO SANIT CONV ALMOF SLIM OVAL BR,4
004997,ASSENTO SANITÁRIO,16
006617,ASSENTO SANITARIO MUNDIAL BRANCO AMANCO,4
012188,Assento Sanitário Plástico Quadrado Incepa Boss Soft Close Branco,1
000985,ASSENTO TAMPA SANITARIO BRANCO (VASO BACIA OVAL),15
